Year,Name,Nameco,lg,Tm,Vote Pts,1st Place,Share,WAR,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS
2007,Carlos Pena,penaca01,AL,TBD,64,0,16%,7.2,148,490,99,138,46,121,1,103,0.282,0.411,0.627,1.037
2007,Curtis Granderson,grandcu01,AL,DET,51,0,13%,7.6,158,612,122,185,23,74,26,52,0.302,0.361,0.552,0.913
2007,Derek Jeter,jeterde01,AL,NYY,17,0,4%,3.9,156,639,102,206,12,73,15,56,0.322,0.388,0.452,0.84
2007,Grady Sizemore,sizemgr01,AL,CLE,15,0,4%,5.5,162,628,118,174,24,78,33,101,0.277,0.39,0.462,0.852
2007,Orlando Cabrera,cabreor01,AL,LAA,5,0,1%,4.2,155,638,101,192,8,86,20,44,0.301,0.345,0.397,0.742
2007,Torii Hunter,hunteto01,AL,MIN,5,0,1%,3.9,160,600,94,172,28,107,18,40,0.287,0.334,0.505,0.839
2007,Bobby Abreu,abreubo01,AL,NYY,4,0,1%,2.4,158,605,123,171,16,101,25,84,0.283,0.369,0.445,0.814
2007,Placido Polanco,polanpl01,AL,DET,4,0,1%,6.1,142,587,105,200,9,67,7,37,0.341,0.388,0.458,0.846
2007,Chone Figgins,figgich01,AL,LAA,3,0,1%,3.4,115,442,81,146,3,58,41,51,0.33,0.393,0.432,0.825
2007,Justin Morneau,morneju01,AL,MIN,3,0,1%,2.9,157,590,84,160,31,111,1,64,0.271,0.343,0.492,0.834
2007,Frank Thomas,thomafr04,AL,TOR,1,0,0%,2.2,155,531,63,147,26,95,0,81,0.277,0.377,0.48,0.857
2006,Justin Morneau,morneju01,AL,MIN,320,15,82%,4.3,157,592,97,190,34,130,3,53,0.321,0.375,0.559,0.934
2006,Derek Jeter,jeterde01,AL,NYY,306,12,78%,5.6,154,623,118,214,14,97,34,69,0.343,0.417,0.483,0.9
2006,David Ortiz,ortizda01,AL,BOS,193,0,49%,5.8,151,558,115,160,54,137,1,119,0.287,0.413,0.636,1.049
2006,Frank Thomas,thomafr04,AL,OAK,174,0,44%,3.2,137,466,77,126,39,114,0,81,0.27,0.381,0.545,0.926
2006,Jermaine Dye,dyeje01,AL,CHW,156,0,40%,4.6,146,539,103,170,44,120,7,59,0.315,0.385,0.622,1.006
2006,Joe Mauer,mauerjo01,AL,MIN,116,0,30%,5.8,140,521,86,181,13,84,8,79,0.347,0.429,0.507,0.936
2006,Travis Hafner,hafnetr01,AL,CLE,64,0,16%,5.9,129,454,100,140,42,117,0,100,0.308,0.439,0.659,1.097
2006,Vladimir Guerrero,guerrvl01,AL,LAA,46,0,12%,3.8,156,607,92,200,33,116,15,50,0.329,0.382,0.552,0.934
2006,Carlos Guillen,guillca01,AL,DET,34,0,9%,6,153,543,100,174,19,85,20,71,0.32,0.4,0.519,0.92
2006,Grady Sizemore,sizemgr01,AL,CLE,24,0,6%,6.6,162,655,134,190,28,76,22,78,0.29,0.375,0.533,0.907
2006,Jim Thome,thomeji01,AL,CHW,17,0,4%,4.9,143,490,108,141,42,109,0,107,0.288,0.416,0.598,1.014
2006,Alex Rodriguez,rodrial01,AL,NYY,13,0,3%,4.5,154,572,113,166,35,121,15,90,0.29,0.392,0.523,0.914
2006,Jason Giambi,giambja01,AL,NYY,9,0,2%,2.9,139,446,92,113,37,113,2,110,0.253,0.413,0.558,0.971
2006,Johnny Damon,damonjo01,AL,NYY,7,0,2%,3.4,149,593,115,169,24,80,25,67,0.285,0.359,0.482,0.841
2006,Ichiro Suzuki,suzukic01,AL,SEA,7,0,2%,5.3,161,695,110,224,9,49,45,49,0.322,0.37,0.416,0.786
2006,Manny Ramirez,ramirma02,AL,BOS,6,0,2%,4.5,130,449,79,144,35,102,0,100,0.321,0.439,0.619,1.058
2006,Miguel Tejada,tejadmi01,AL,BAL,5,0,1%,4.5,162,648,99,214,24,100,6,46,0.33,0.379,0.498,0.878
2006,Raul Ibanez,ibanera01,AL,SEA,4,0,1%,4.5,159,626,103,181,33,123,2,65,0.289,0.353,0.516,0.869
2006,Robinson Cano,canoro01,AL,NYY,3,0,1%,3.2,122,482,62,165,15,78,5,18,0.342,0.365,0.525,0.89
2006,Paul Konerko,konerpa01,AL,CHW,3,0,1%,3,152,566,97,177,35,113,1,60,0.313,0.381,0.551,0.932
2006,Magglio Ordonez,ordonma01,AL,DET,3,0,1%,1.9,155,593,82,177,24,104,1,45,0.298,0.35,0.477,0.827
2006,Vernon Wells,wellsve01,AL,TOR,3,0,1%,6.2,154,611,91,185,32,106,17,54,0.303,0.357,0.542,0.899
2006,Carl Crawford,crawfca02,AL,TBD,2,0,1%,4.5,151,600,89,183,18,77,58,37,0.305,0.348,0.482,0.83
2006,Troy Glaus,glaustr01,AL,TOR,1,0,0%,4.3,153,540,105,136,38,104,3,86,0.252,0.355,0.513,0.868
2006,Gary Matthews,matthga02,AL,TEX,1,0,0%,5.2,147,620,102,194,19,79,10,58,0.313,0.371,0.495,0.866
2006,A.J. Pierzynski,pierza.01,AL,CHW,1,0,0%,2.1,140,509,65,150,16,64,1,22,0.295,0.333,0.436,0.769
2006,Michael Young,youngmi02,AL,TEX,1,0,0%,3.8,162,691,93,217,14,103,7,48,0.314,0.356,0.459,0.814
2005,Alex Rodriguez,rodrial01,AL,NYY,331,16,84%,9.4,162,605,124,194,48,130,21,91,0.321,0.421,0.61,1.031
2005,David Ortiz,ortizda01,AL,BOS,307,11,78%,5.2,159,601,119,180,47,148,1,102,0.3,0.397,0.604,1.001
2005,Vladimir Guerrero,guerrvl01,AL,LAA,196,1,50%,5.7,141,520,95,165,32,108,13,61,0.317,0.394,0.565,0.959
2005,Manny Ramirez,ramirma02,AL,BOS,156,0,40%,4.4,152,554,112,162,45,144,1,80,0.292,0.388,0.594,0.982
2005,Travis Hafner,hafnetr01,AL,CLE,151,0,39%,5.4,137,486,94,148,33,108,0,79,0.305,0.408,0.595,1.003
2005,Paul Konerko,konerpa01,AL,CHW,128,0,33%,4,158,575,98,163,40,100,0,81,0.283,0.375,0.534,0.909
2005,Mark Teixeira,teixema01,AL,TEX,106,0,27%,7.2,162,644,112,194,43,144,4,72,0.301,0.379,0.575,0.954
2005,Gary Sheffield,sheffga01,AL,NYY,84,0,21%,4.1,154,584,104,170,34,123,10,78,0.291,0.379,0.512,0.891
2005,Derek Jeter,jeterde01,AL,NYY,23,0,6%,3.8,159,654,122,202,19,70,14,77,0.309,0.389,0.45,0.839
2005,Michael Young,youngmi02,AL,TEX,20,0,5%,3.2,159,668,114,221,24,91,5,58,0.331,0.385,0.513,0.899
2005,Scott Podsednik,podsesc01,AL,CHW,15,0,4%,1.7,129,507,80,147,0,25,59,47,0.29,0.351,0.349,0.7
2005,Johnny Damon,damonjo01,AL,BOS,12,0,3%,4,148,624,117,197,10,75,18,53,0.316,0.366,0.439,0.805
2005,Hideki Matsui,matsuhi01,AL,NYY,8,0,2%,4.5,162,629,108,192,23,116,2,63,0.305,0.367,0.496,0.863
2005,Richie Sexson,sexsori01,AL,SEA,7,0,2%,3.9,156,558,99,147,39,121,1,89,0.263,0.369,0.541,0.91
2005,Miguel Tejada,tejadmi01,AL,BAL,7,0,2%,5.9,162,654,89,199,26,98,5,40,0.304,0.349,0.515,0.865
2005,Chone Figgins,figgich01,AL,LAA,6,0,2%,3.9,158,642,113,186,8,57,62,64,0.29,0.352,0.397,0.749
2005,Jason Giambi,giambja01,AL,NYY,5,0,1%,4.6,139,417,74,113,32,87,0,108,0.271,0.44,0.535,0.975
2005,Victor Martinez,martivi01,AL,CLE,5,0,1%,5.2,147,547,73,167,20,80,0,63,0.305,0.378,0.475,0.853
2005,Brian Roberts,roberbr01,AL,BAL,5,0,1%,7.3,143,561,92,176,18,73,27,67,0.314,0.387,0.515,0.903
2005,Eric Chavez,chaveer01,AL,OAK,4,0,1%,4.8,160,625,92,168,27,101,6,58,0.269,0.329,0.466,0.794
2005,Jason Varitek,varitja01,AL,BOS,4,0,1%,3.9,133,470,70,132,22,70,2,62,0.281,0.366,0.489,0.856
2005,Grady Sizemore,sizemgr01,AL,CLE,3,0,1%,6.6,158,640,111,185,22,81,22,52,0.289,0.348,0.484,0.832
2005,Jorge Cantu,cantujo01,AL,TBD,1,0,0%,1.2,150,598,73,171,28,117,1,19,0.286,0.311,0.497,0.808
2004,Vladimir Guerrero,guerrvl01,AL,ANA,354,21,90%,5.6,156,612,124,206,39,126,15,52,0.337,0.391,0.598,0.989
2004,Gary Sheffield,sheffga01,AL,NYY,254,5,65%,4.2,154,573,117,166,36,121,5,92,0.29,0.393,0.534,0.927
2004,Manny Ramirez,ramirma02,AL,BOS,238,1,61%,4.1,152,568,108,175,43,130,2,82,0.308,0.397,0.613,1.009
2004,David Ortiz,ortizda01,AL,BOS,174,1,44%,4.3,150,582,94,175,41,139,0,75,0.301,0.38,0.603,0.983
2004,Miguel Tejada,tejadmi01,AL,BAL,123,0,31%,7.4,162,653,107,203,34,150,4,48,0.311,0.36,0.534,0.894
2004,Ichiro Suzuki,suzukic01,AL,SEA,98,0,25%,9.2,161,704,101,262,8,60,36,49,0.372,0.414,0.455,0.869
2004,Michael Young,youngmi02,AL,TEX,92,0,23%,1.9,160,690,114,216,22,99,12,44,0.313,0.353,0.483,0.836
2004,Ivan Rodriguez,rodriiv01,AL,DET,34,0,9%,4.5,135,527,72,176,19,86,7,41,0.334,0.383,0.51,0.893
2004,Derek Jeter,jeterde01,AL,NYY,11,0,3%,4.2,154,643,111,188,23,78,23,46,0.292,0.352,0.471,0.823
2004,Mark Kotsay,kotsama01,AL,OAK,8,0,2%,4.6,148,606,78,190,15,63,8,55,0.314,0.37,0.459,0.829
2004,Alex Rodriguez,rodrial01,AL,NYY,8,0,2%,7.6,155,601,112,172,36,106,28,80,0.286,0.375,0.512,0.888
2004,Johnny Damon,damonjo01,AL,BOS,7,0,2%,4.3,150,621,123,189,20,94,19,76,0.304,0.38,0.477,0.857
2004,Paul Konerko,konerpa01,AL,CHW,7,0,2%,2.3,155,563,84,156,41,117,1,69,0.277,0.359,0.535,0.894
2004,Hank Blalock,blaloha01,AL,TEX,5,0,1%,4.6,159,624,107,172,32,110,2,75,0.276,0.355,0.5,0.855
2004,Melvin Mora,morame01,AL,BAL,5,0,1%,5.6,140,550,111,187,27,104,11,66,0.34,0.419,0.562,0.981
2004,Mark Teixeira,teixema01,AL,TEX,5,0,1%,4.6,145,545,101,153,38,112,4,68,0.281,0.37,0.56,0.929
2004,Torii Hunter,hunteto01,AL,MIN,4,0,1%,4.2,138,520,79,141,23,81,21,40,0.271,0.33,0.475,0.805
2004,Victor Martinez,martivi01,AL,CLE,4,0,1%,3.7,141,520,77,147,23,108,0,60,0.283,0.359,0.492,0.851
2004,Erubiel Durazo,durazer01,AL,OAK,3,0,1%,3.4,142,511,80,164,22,88,3,56,0.321,0.396,0.523,0.919
2004,Chone Figgins,figgich01,AL,ANA,2,0,1%,2.7,148,577,83,171,5,60,34,49,0.296,0.35,0.419,0.77
2004,Lew Ford,fordle01,AL,MIN,2,0,1%,4.5,154,569,89,170,15,72,20,67,0.299,0.381,0.446,0.827
2004,Carlos Guillen,guillca01,AL,DET,2,0,1%,4.6,136,522,97,166,20,97,12,52,0.318,0.379,0.542,0.921
2004,Travis Hafner,hafnetr01,AL,CLE,2,0,1%,5,140,482,96,150,28,109,3,68,0.311,0.41,0.583,0.993
2004,Hideki Matsui,matsuhi01,AL,NYY,2,0,1%,5,162,584,109,174,31,108,3,88,0.298,0.39,0.522,0.912
2004,Eric Chavez,chaveer01,AL,OAK,1,0,0%,5.5,125,475,87,131,29,77,6,95,0.276,0.397,0.501,0.898
2004,Jason Varitek,varitja01,AL,BOS,1,0,0%,4,137,463,67,137,18,73,10,62,0.296,0.39,0.482,0.872
2003,Alex Rodriguez,rodrial01,AL,TEX,242,6,62%,8.4,161,607,124,181,47,118,17,87,0.298,0.396,0.6,0.995
2003,Carlos Delgado,delgaca01,AL,TOR,213,5,54%,5.9,161,570,117,172,42,145,0,109,0.302,0.426,0.593,1.019
2003,Jorge Posada,posadjo01,AL,NYY,194,5,49%,5.9,142,481,83,135,30,101,2,93,0.281,0.405,0.518,0.922
2003,Shannon Stewart,stewash01,AL,TOT,140,3,36%,3.1,136,573,90,176,13,73,4,52,0.307,0.364,0.459,0.823
2003,David Ortiz,ortizda01,AL,BOS,130,4,33%,3.4,128,448,79,129,31,101,0,58,0.288,0.369,0.592,0.961
2003,Manny Ramirez,ramirma02,AL,BOS,100,1,26%,5.4,154,569,117,185,37,104,3,97,0.325,0.427,0.587,1.014
2003,Nomar Garciaparra,garcino01,AL,BOS,99,1,25%,6.1,156,658,120,198,28,105,19,39,0.301,0.345,0.524,0.87
2003,Vernon Wells,wellsve01,AL,TOR,84,1,21%,4.5,161,678,118,215,33,117,4,42,0.317,0.359,0.55,0.909
2003,Carlos Beltran,beltrca01,AL,KCR,77,0,20%,5.8,141,521,102,160,26,100,41,72,0.307,0.389,0.522,0.911
2003,Bret Boone,boonebr01,AL,SEA,65,0,17%,5.9,159,622,111,183,35,117,16,68,0.294,0.366,0.535,0.902
2003,Miguel Tejada,tejadmi01,AL,OAK,49,1,13%,4.9,162,636,98,177,27,106,10,53,0.278,0.336,0.472,0.807
2003,Bill Mueller,muellbi02,AL,BOS,45,0,11%,5.6,146,524,85,171,19,85,1,59,0.326,0.398,0.54,0.938
2003,Jason Giambi,giambja01,AL,NYY,36,1,9%,4.8,156,535,97,134,41,107,2,129,0.25,0.412,0.527,0.939
2003,Garret Anderson,anderga01,AL,ANA,35,0,9%,4,159,638,80,201,29,116,6,31,0.315,0.345,0.541,0.885
2003,Frank Thomas,thomafr04,AL,CHW,20,0,5%,4.3,153,546,87,146,42,105,0,100,0.267,0.39,0.562,0.952
2003,Eric Chavez,chaveer01,AL,OAK,18,0,5%,5.3,156,588,94,166,29,101,8,62,0.282,0.35,0.514,0.864
2003,Carlos Lee,leeca01,AL,CHW,16,0,4%,3.2,158,623,100,181,31,113,18,37,0.291,0.331,0.499,0.83
2003,Magglio Ordonez,ordonma01,AL,CHW,16,0,4%,5.6,160,606,95,192,29,99,9,57,0.317,0.38,0.546,0.926
2003,Alfonso Soriano,soriaal01,AL,NYY,15,0,4%,5.4,156,682,114,198,38,91,35,38,0.29,0.338,0.525,0.863
2003,Derek Jeter,jeterde01,AL,NYY,10,0,3%,3.6,119,482,87,156,10,52,11,43,0.324,0.393,0.45,0.844
2003,Ichiro Suzuki,suzukic01,AL,SEA,6,0,2%,5.6,159,679,111,212,13,62,34,36,0.312,0.352,0.436,0.788
2003,Aubrey Huff,huffau01,AL,TBD,4,0,1%,4,162,636,91,198,34,107,2,53,0.311,0.367,0.555,0.922
2003,Jason Varitek,varitja01,AL,BOS,4,0,1%,3,142,451,63,123,25,85,3,51,0.273,0.351,0.512,0.863
2002,Miguel Tejada,tejadmi01,AL,OAK,356,21,91%,5.6,162,662,108,204,34,131,7,38,0.308,0.354,0.508,0.861
2002,Alex Rodriguez,rodrial01,AL,TEX,254,5,65%,8.8,162,624,125,187,57,142,9,87,0.3,0.392,0.623,1.015
2002,Alfonso Soriano,soriaal01,AL,NYY,234,2,60%,4.8,156,696,128,209,39,102,41,23,0.3,0.332,0.547,0.88
2002,Garret Anderson,anderga01,AL,ANA,184,0,47%,5.1,158,638,93,195,29,123,6,30,0.306,0.332,0.539,0.871
2002,Jason Giambi,giambja01,AL,NYY,162,0,41%,7.1,155,560,120,176,41,122,2,109,0.314,0.435,0.598,1.034
2002,Torii Hunter,hunteto01,AL,MIN,132,0,34%,3.5,148,561,89,162,29,94,23,35,0.289,0.334,0.524,0.859
2002,Jim Thome,thomeji01,AL,CLE,69,0,18%,7.4,147,480,101,146,52,118,1,122,0.304,0.445,0.677,1.122
2002,Magglio Ordonez,ordonma01,AL,CHW,59,0,15%,5.1,153,590,116,189,38,135,7,53,0.32,0.381,0.597,0.978
2002,Manny Ramirez,ramirma02,AL,BOS,39,0,10%,6,120,436,84,152,33,107,0,73,0.349,0.45,0.647,1.097
2002,Bernie Williams,willibe02,AL,NYY,32,0,8%,4.5,154,612,102,204,19,102,8,83,0.333,0.415,0.493,0.908
2002,David Eckstein,eckstda01,AL,ANA,24,0,6%,5.3,152,608,107,178,8,63,21,45,0.293,0.363,0.388,0.752
2002,Nomar Garciaparra,garcino01,AL,BOS,24,0,6%,6.8,156,635,101,197,24,120,5,41,0.31,0.352,0.528,0.88
2002,Eric Chavez,chaveer01,AL,OAK,14,0,4%,4.2,153,585,87,161,34,109,8,65,0.275,0.348,0.513,0.86
2002,Ichiro Suzuki,suzukic01,AL,SEA,10,0,3%,3.5,157,647,111,208,8,51,31,68,0.321,0.388,0.425,0.813
2002,Mike Sweeney,sweenmi01,AL,KCR,1,0,0%,5,126,471,81,160,24,86,9,61,0.34,0.417,0.563,0.979
2017,Giancarlo Stanton,stantmi03,NL,MIA,302,10,72%,7.6,159,597,123,168,59,132,2,85,0.281,0.376,0.631,1.007
2017,Joey Votto,vottojo01,NL,CIN,300,10,71%,7.5,162,559,106,179,36,100,5,134,0.32,0.454,0.578,1.032
2017,Paul Goldschmidt,goldspa01,NL,ARI,239,4,57%,5.8,155,558,117,166,36,120,18,94,0.297,0.404,0.563,0.966
2017,Nolan Arenado,arenano01,NL,COL,229,2,55%,7.2,159,606,100,187,37,130,3,62,0.309,0.373,0.586,0.959
2017,Charlie Blackmon,blackch02,NL,COL,205,3,49%,6,159,644,137,213,37,104,14,65,0.331,0.399,0.601,1
2017,Anthony Rendon,rendoan01,NL,WSN,141,0,34%,6,147,508,81,153,25,100,7,84,0.301,0.403,0.533,0.937
2017,Kris Bryant,bryankr01,NL,CHC,132,1,31%,6.2,151,549,111,162,29,73,7,95,0.295,0.409,0.537,0.946
2017,Justin Turner,turneju01,NL,LAD,43,0,10%,5.8,130,457,72,147,21,71,7,59,0.322,0.415,0.53,0.945
2017,Cody Bellinger,bellico01,NL,LAD,38,0,9%,4.2,132,480,87,128,39,97,10,64,0.267,0.352,0.581,0.933
2017,Tommy Pham,phamth01,NL,STL,24,0,6%,6.2,128,444,95,136,23,73,25,71,0.306,0.411,0.52,0.931
2017,Bryce Harper,harpebr03,NL,WSN,21,0,5%,4.7,111,420,95,134,29,87,4,68,0.319,0.413,0.595,1.008
2017,Anthony Rizzo,rizzoan01,NL,CHC,17,0,4%,4.3,157,572,99,156,32,109,10,91,0.273,0.392,0.507,0.899
2017,J.D. Martinez,martijd02,NL,ARI,11,0,3%,2.6,62,232,47,70,29,65,2,24,0.302,0.366,0.741,1.107
2017,Marcell Ozuna,ozunama01,NL,MIA,8,0,2%,5.8,159,613,93,191,37,124,1,64,0.312,0.376,0.548,0.924
2017,Corey Seager,seageco01,NL,LAD,6,0,1%,5.6,145,539,85,159,22,77,4,67,0.295,0.375,0.479,0.854
2017,Daniel Murphy,murphda08,NL,WSN,3,0,1%,2.8,144,534,94,172,23,93,2,52,0.322,0.384,0.543,0.928
2017,Ryan Zimmerman,zimmery01,NL,WSN,1,0,0%,2.7,144,524,90,159,36,108,1,44,0.303,0.358,0.573,0.93
2016,Kris Bryant,bryankr01,NL,CHC,415,29,99%,7.4,155,603,121,176,39,102,8,75,0.292,0.385,0.554,0.939
2016,Daniel Murphy,murphda08,NL,WSN,245,1,58%,4.5,142,531,88,184,25,104,5,35,0.347,0.39,0.595,0.985
2016,Corey Seager,seageco01,NL,LAD,240,0,57%,5.9,157,627,105,193,26,72,3,54,0.308,0.365,0.512,0.877
2016,Anthony Rizzo,rizzoan01,NL,CHC,202,0,48%,5.5,155,583,94,170,32,109,3,74,0.292,0.385,0.544,0.928
2016,Nolan Arenado,arenano01,NL,COL,199,0,47%,6.6,160,618,116,182,41,133,2,68,0.294,0.362,0.57,0.932
2016,Freddie Freeman,freemfr01,NL,ATL,129,0,31%,6.5,158,589,102,178,34,91,6,89,0.302,0.4,0.569,0.968
2016,Joey Votto,vottojo01,NL,CIN,100,0,24%,4,158,556,101,181,29,97,8,108,0.326,0.434,0.55,0.985
2016,Yoenis Cespedes,cespeyo01,NL,NYM,45,0,11%,3.1,132,479,72,134,31,86,3,51,0.28,0.354,0.53,0.884
2016,Justin Turner,turneju01,NL,LAD,44,0,10%,4.7,151,556,79,153,27,90,4,48,0.275,0.339,0.493,0.832
2016,Paul Goldschmidt,goldspa01,NL,ARI,18,0,4%,4.7,158,579,106,172,24,95,32,110,0.297,0.411,0.489,0.899
2016,Brandon Crawford,crawfbr01,NL,SFG,15,0,4%,4.9,155,553,67,152,12,84,7,57,0.275,0.342,0.43,0.772
2016,Jean Segura,segurje01,NL,ARI,14,0,3%,5.5,153,637,102,203,20,64,33,39,0.319,0.368,0.499,0.867
2016,Buster Posey,poseybu01,NL,SFG,11,0,3%,4.9,146,539,82,155,14,80,6,64,0.288,0.362,0.434,0.796
2016,DJ LeMahieu,lemahdj01,NL,COL,8,0,2%,5.3,146,552,104,192,11,66,11,66,0.348,0.416,0.495,0.911
2016,Wilson Ramos,ramoswi01,NL,WSN,6,0,1%,3.2,131,482,58,148,22,80,0,35,0.307,0.354,0.496,0.85
2016,Addison Russell,russead02,NL,CHC,5,0,1%,4.1,151,525,67,125,21,95,5,55,0.238,0.321,0.417,0.738
2016,Christian Yelich,yelicch01,NL,MIA,5,0,1%,5.4,155,578,78,172,21,98,9,72,0.298,0.376,0.483,0.859
2016,Yasmani Grandal,grandya01,NL,LAD,4,0,1%,2.7,126,390,49,89,27,72,1,64,0.228,0.339,0.477,0.816
2016,Ryan Braun,braunry02,NL,MIL,2,0,0%,4.4,135,511,80,156,30,91,16,46,0.305,0.365,0.538,0.903
2016,Yadier Molina,molinya01,NL,STL,2,0,0%,3.1,147,534,56,164,8,58,3,39,0.307,0.36,0.427,0.787
2016,Charlie Blackmon,blackch02,NL,COL,1,0,0%,4.5,143,578,111,187,29,82,17,43,0.324,0.381,0.552,0.933
2015,Bryce Harper,harpebr03,NL,WSN,420,30,100%,10,153,521,118,172,42,99,6,124,0.33,0.46,0.649,1.109
2015,Paul Goldschmidt,goldspa01,NL,ARI,234,0,56%,8.7,159,567,103,182,33,110,21,118,0.321,0.435,0.57,1.005
2015,Joey Votto,vottojo01,NL,CIN,175,0,42%,7.7,158,545,95,171,29,80,11,143,0.314,0.459,0.541,1
2015,Anthony Rizzo,rizzoan01,NL,CHC,162,0,39%,6.4,160,586,94,163,31,101,17,78,0.278,0.387,0.512,0.899
2015,Andrew McCutchen,mccutan01,NL,PIT,139,0,33%,4.9,157,566,91,165,23,96,11,98,0.292,0.401,0.488,0.889
2015,Nolan Arenado,arenano01,NL,COL,102,0,24%,5.8,157,616,97,177,42,130,2,34,0.287,0.323,0.575,0.898
2015,Buster Posey,poseybu01,NL,SFG,84,0,20%,6,150,557,74,177,19,95,2,56,0.318,0.379,0.47,0.849
2015,Kris Bryant,bryankr01,NL,CHC,34,0,8%,6.1,151,559,87,154,26,99,13,77,0.275,0.369,0.488,0.858
2015,Matt Carpenter,carpema01,NL,STL,26,0,6%,4,154,574,101,156,28,84,4,81,0.272,0.365,0.505,0.871
2015,Yoenis Cespedes,cespeyo01,NL,NYM,24,0,6%,2.3,57,230,39,66,17,44,4,14,0.287,0.337,0.604,0.942
2015,A.J. Pollock,polloaj01,NL,ARI,21,0,5%,7.2,157,609,111,192,20,76,39,53,0.315,0.367,0.498,0.865
2015,Jason Heyward,heywaja01,NL,STL,15,0,4%,6.6,154,547,79,160,13,60,23,56,0.293,0.359,0.439,0.797
2015,Dee Gordon,gordode01,NL,MIA,6,0,1%,5.1,145,615,88,205,4,46,58,25,0.333,0.359,0.418,0.776
2015,Curtis Granderson,grandcu01,NL,NYM,4,0,1%,5,157,580,98,150,26,70,11,91,0.259,0.364,0.457,0.821
2015,Adrian Gonzalez,gonzaad01,NL,LAD,3,0,1%,4.1,156,571,76,157,28,90,0,62,0.275,0.35,0.48,0.83
2014,Giancarlo Stanton,stantmi03,NL,MIA,298,8,71%,6.5,145,539,89,155,37,105,13,94,0.288,0.395,0.555,0.95
2014,Andrew McCutchen,mccutan01,NL,PIT,271,4,65%,6.1,146,548,89,172,25,83,18,84,0.314,0.41,0.542,0.952
2014,Jonathan Lucroy,lucrojo01,NL,MIL,167,0,40%,6.6,153,585,73,176,13,69,4,66,0.301,0.373,0.465,0.837
2014,Anthony Rendon,rendoan01,NL,WSN,155,0,37%,6.6,153,613,111,176,21,83,17,58,0.287,0.351,0.473,0.824
2014,Buster Posey,poseybu01,NL,SFG,152,0,36%,5.4,147,547,72,170,22,89,0,47,0.311,0.364,0.49,0.854
2014,Adrian Gonzalez,gonzaad01,NL,LAD,57,0,14%,3.8,159,591,83,163,27,116,1,56,0.276,0.335,0.482,0.817
2014,Josh Harrison,harrijo05,NL,PIT,52,0,12%,5.5,143,520,77,164,13,52,18,22,0.315,0.347,0.49,0.837
2014,Anthony Rizzo,rizzoan01,NL,CHC,37,0,9%,5.2,140,524,89,150,32,78,5,73,0.286,0.386,0.527,0.913
2014,Hunter Pence,pencehu01,NL,SFG,34,0,8%,3.8,162,650,106,180,20,74,13,52,0.277,0.332,0.445,0.777
2014,Russell Martin,martiru01,NL,PIT,21,0,5%,5.4,111,379,45,110,11,67,4,59,0.29,0.402,0.43,0.832
2014,Matt Holliday,hollima01,NL,STL,17,0,4%,3.4,156,574,83,156,20,90,4,74,0.272,0.37,0.441,0.811
2014,Jhonny Peralta,peraljh01,NL,STL,17,0,4%,5.9,157,560,61,147,21,75,3,58,0.263,0.336,0.443,0.779
2014,Carlos Gomez,gomezca01,NL,MIL,13,0,3%,4.5,148,574,95,163,23,73,34,47,0.284,0.356,0.477,0.833
2014,Justin Upton,uptonju01,NL,ATL,10,0,2%,3.1,154,566,77,153,29,102,8,60,0.27,0.342,0.491,0.833
2014,Jayson Werth,werthja01,NL,WSN,9,0,2%,4,147,534,85,156,16,82,9,83,0.292,0.394,0.455,0.849
2014,Yasiel Puig,puigya01,NL,LAD,8,0,2%,5.1,148,558,92,165,16,69,11,67,0.296,0.382,0.48,0.863
2014,Denard Span,spande01,NL,WSN,8,0,2%,3.8,147,610,94,184,5,37,31,50,0.302,0.355,0.416,0.771
2014,Devin Mesoraco,mesorde01,NL,CIN,5,0,1%,4.7,114,384,54,105,25,80,1,41,0.273,0.359,0.534,0.893
2014,Lucas Duda,dudalu01,NL,NYM,3,0,1%,3.7,153,514,74,130,30,92,3,69,0.253,0.349,0.481,0.83
2014,Freddie Freeman,freemfr01,NL,ATL,2,0,0%,3.2,162,607,93,175,18,78,3,90,0.288,0.386,0.461,0.847
2014,Justin Morneau,morneju01,NL,COL,2,0,0%,3.2,135,502,62,160,17,82,0,34,0.319,0.364,0.496,0.86
2014,Dee Gordon,gordode01,NL,LAD,1,0,0%,2.5,148,609,92,176,2,34,64,31,0.289,0.326,0.378,0.704
2014,Troy Tulowitzki,tulowtr01,NL,COL,1,0,0%,5.5,91,315,71,107,21,52,1,50,0.34,0.432,0.603,1.035
2013,Andrew McCutchen,mccutan01,NL,PIT,409,28,97%,7.9,157,583,97,185,21,84,27,78,0.317,0.404,0.508,0.911
2013,Paul Goldschmidt,goldspa01,NL,ARI,242,0,58%,7.1,160,602,103,182,36,125,15,99,0.302,0.401,0.551,0.952
2013,Yadier Molina,molinya01,NL,STL,219,2,52%,6.1,136,505,68,161,12,80,3,30,0.319,0.359,0.477,0.836
2013,Matt Carpenter,carpema01,NL,STL,194,0,46%,6.5,157,626,126,199,11,78,3,72,0.318,0.392,0.481,0.873
2013,Freddie Freeman,freemfr01,NL,ATL,154,0,37%,5.7,147,551,89,176,23,109,1,66,0.319,0.396,0.501,0.897
2013,Joey Votto,vottojo01,NL,CIN,149,0,35%,6.6,162,581,101,177,24,73,6,135,0.305,0.435,0.491,0.926
